id,type_of_logement_raw,ville_raw,quartier_raw,room_nb_raw,bedroom_nb_raw,surface_raw,price_raw
0,Maison,Triel sur Seine,Nord et Ouest,8,4,230,630000
1,Appartement,Verneuil sur Seine,Clairieres,4,2,75.49,170000
2,Appartement,Meaux,Croix Saint Loup-Saint Nicolas,4,3,100.18,409500
3,Appartement,Carrières-sous-Poissy,Apollinaire,2,1,31,129000
4,Appartement,,,3,2,64,129000
5,Appartement,,,4,3,76.04,139000
6,Maison,Sannois,Gabriel Peri,7,4,185,599000
7,Appartement,Paris 16,Muette Nord,10,5,333,
8,Maison,Saint-Maur-des-Fossés,Champignol,6,4,170,1238000
9,Appartement,,,5,4,128.62,330000
10,Appartement,,,5,3,77,215000
11,Appartement,Poissy,Mairie,3,2,51.72,219000
12,Maison,Poissy,Gare,5,2,115,832000
13,Maison,,,6,4,120,559000
14,Maison,,,8,5,200,699000
15,Maison,Noisy-le-Grand,Varenne-Centre-Rive Charmante,10,6,350,1590000
16,Maison,,,5,3,126,315000
17,Appartement,Carrières-sous-Poissy,Le Village,2,1,29.98,129000
18,Maison,,,6,5,200,525000
19,Appartement,,,2,1,27.44,124000
20,Appartement,Paris 06,Rennes,2,1,41.08,630000
21,Maison,Pontoise,Hermmitage,6,4,140,347500
22,Appartement,Franconville,Stade,3,2,55,215250
23,Maison,,,8,5,263,675000
24,Maison,Chanteloup-les-Vignes,Le Bois Village,5,3,80,255700
25,Maison,Saint-Maur-des-Fossés,Champignol,6,4,170,1238000
26,Maison,Antony,Bois de Verrières-Coulée Verte-Parc Heller,7,5,136,860000
27,Appartement,,,5,4,128.62,330000
28,Maison,Lagny-sur-Marne,Clémenceau-Pointcaré Sud,5,4,110,359000
29,Appartement,Poissy,Mairie,3,2,51.72,219000
30,Appartement,Chilly-Mazarin,Plaine de Balizy,5,3,91.97,194000
31,Appartement,Orsay,Viaduc Est,5,3,94,450000
32,Maison,,,8,5,200,699000
33,Appartement,Carrières-sous-Poissy,Le Village,2,1,29.98,129000
34,Maison,,,6,5,200,525000
35,Maison,,,6,5,420,2400000
36,Appartement,Argenteuil,Val d'Argent Sud,4,3,64.42,175900
37,Maison,,,9,5,255,1080000
38,Maison,Paris 11,Belleville-Saint Maur,7,5,140,1850000
39,Maison,Chanteloup-les-Vignes,Le Bois Village,6,4,155,431500
40,Appartement,,,4,2,77.94,232500
41,Appartement,Saint-Ouen,Hugo-Payret-Zola,3,2,55,399000
42,Appartement,Carrières-sous-Poissy,Saint Blaise,2,1,36.15,154000
43,Maison,Montmagny,Carrieres Faucilles-Butte Pinson,9,5,265,670000
44,Maison,Vernouillet,Haut,7,5,170,595000
45,Maison,Sannois,Gabriel Peri,6,4,129.57,580000
46,Appartement,Antony,Guillebaud-Beauv Vallon-Les Rabats-Antonypole,5,4,106,472000
47,Maison,Montgeron,Chalandray-Cascades-Ferdinand Buisson,7,4,214,680000
48,Appartement,,,4,3,78,190000
49,Maison,Marcoussis,Centre,4,2,77,265000
50,Appartement,Paris 16,Porte Dauphine,7,4,264.6,3397000
51,Appartement,Sèvres,Bruyères-Acacias-Fonceaux,3,2,70.54,395000
52,Appartement,Poissy,Centrale,4,3,85.2,365000
53,Appartement,Saint-Cyr-l'École,Centre Ville,4,3,90.72,420000
54,Maison,Issy-les-Moulineaux,Epinettes,5,3,152,1820000
55,Appartement,Le Pré-Saint-Gervais,Anatole France,3,2,64.5,485000
56,Appartement,Le Mesnil-le-Roi,Sud,6,3,116.75,378000
57,Appartement,,,1,,22.61,156000
58,Maison,Houilles,Centre Ville,5,4,126,549000
